,SampleId,Sample,Read,Pairedness,Initial,afterTrimmo,afterTrimGal
220,31-A_S71_L003_R2_001,31-A,R2,Paired,27765592,14779624,14344774
221,31-A_S71_L003_R2_001,31-A,R2,Unpaired1,NA,110997,54079
222,31-A_S71_L003_R2_001,31-A,R2,Unpaired2,NA,NA,226806
223,31-B_S35_L003_R1_001,31-B,R1,Paired,28386451,16699311,16267656
224,31-B_S35_L003_R1_001,31-B,R1,Unpaired1,NA,11464906,11339074
225,31-B_S35_L003_R1_001,31-B,R1,Unpaired2,NA,NA,148919
226,31-B_S35_L003_R2_001,31-B,R2,Paired,28386451,16699311,16267656
227,31-B_S35_L003_R2_001,31-B,R2,Unpaired1,NA,94394,56430
228,31-B_S35_L003_R2_001,31-B,R2,Unpaired2,NA,NA,230819
229,31-C_S80_L003_R1_001,31-C,R1,Paired,23842041,11129112,10712052
230,31-C_S80_L003_R1_001,31-C,R1,Unpaired1,NA,12474160,12327326
231,31-C_S80_L003_R1_001,31-C,R1,Unpaired2,NA,NA,153146
232,31-C_S80_L003_R2_001,31-C,R2,Paired,23842041,11129112,10712052
233,31-C_S80_L003_R2_001,31-C,R2,Unpaired1,NA,115051,50831
234,31-C_S80_L003_R2_001,31-C,R2,Unpaired2,NA,NA,203093
235,31-D_S113_L003_R1_001,31-D,R1,Paired,27520250,16427896,14699048
236,31-D_S113_L003_R1_001,31-D,R1,Unpaired1,NA,10498763,10112351
237,31-D_S113_L003_R1_001,31-D,R1,Unpaired2,NA,NA,284321
238,31-D_S113_L003_R2_001,31-D,R2,Paired,27520250,16427896,14699048
239,31-D_S113_L003_R2_001,31-D,R2,Unpaired1,NA,412260,126905
240,31-D_S113_L003_R2_001,31-D,R2,Unpaired2,NA,NA,805451
241,31-E_S17_L003_R1_001,31-E,R1,Paired,21619773,11279678,10800629
242,31-E_S17_L003_R1_001,31-E,R1,Unpaired1,NA,10051740,9895020
243,31-E_S17_L003_R1_001,31-E,R1,Unpaired2,NA,NA,148903
244,31-E_S17_L003_R2_001,31-E,R2,Paired,21619773,11279678,10800629
245,31-E_S17_L003_R2_001,31-E,R2,Unpaired1,NA,139429,54205
246,31-E_S17_L003_R2_001,31-E,R2,Unpaired2,NA,NA,247572
247,31-F_S49_L003_R1_001,31-F,R1,Paired,26601861,15345784,14925545
248,31-F_S49_L003_R1_001,31-F,R1,Unpaired1,NA,11025833,10897172
249,31-F_S49_L003_R1_001,31-F,R1,Unpaired2,NA,NA,142656
250,31-F_S49_L003_R2_001,31-F,R2,Paired,26601861,15345784,14925545
251,31-F_S49_L003_R2_001,31-F,R2,Unpaired1,NA,95035,54633
