,SampleId,Sample,Read,Pairedness,Initial,afterTrimmo,afterTrimGal
690,7-H_S82_L003_R2_001,7-H,R2,Unpaired2,NA,NA,278830
691,7-M_S76_L003_R1_001,7-M,R1,Paired,28080811,16588104,16177989
692,7-M_S76_L003_R1_001,7-M,R1,Unpaired1,NA,11285712,11160661
693,7-M_S76_L003_R1_001,7-M,R1,Unpaired2,NA,NA,153641
694,7-M_S76_L003_R2_001,7-M,R2,Paired,28080811,16588104,16177989
695,7-M_S76_L003_R2_001,7-M,R2,Unpaired1,NA,91466,51678
696,7-M_S76_L003_R2_001,7-M,R2,Unpaired2,NA,NA,216222
697,7-N_S11_L003_R1_001,7-N,R1,Paired,26737415,13920562,13476854
698,7-N_S11_L003_R1_001,7-N,R1,Unpaired1,NA,12572610,12419019
699,7-N_S11_L003_R1_001,7-N,R1,Unpaired2,NA,NA,145005
700,7-N_S11_L003_R2_001,7-N,R2,Paired,26737415,13920562,13476854
701,7-N_S11_L003_R2_001,7-N,R2,Unpaired1,NA,105291,54914
702,7-N_S11_L003_R2_001,7-N,R2,Unpaired2,NA,NA,235015
703,7-O_S63_L003_R1_001,7-O,R1,Paired,26064592,12948352,12563605
704,7-O_S63_L003_R1_001,7-O,R1,Unpaired1,NA,12842402,12731954
705,7-O_S63_L003_R1_001,7-O,R1,Unpaired2,NA,NA,165281
706,7-O_S63_L003_R2_001,7-O,R2,Paired,26064592,12948352,12563605
707,7-O_S63_L003_R2_001,7-O,R2,Unpaired1,NA,130616,47835
708,7-O_S63_L003_R2_001,7-O,R2,Unpaired2,NA,NA,166523
709,7-P_S103_L003_R1_001,7-P,R1,Paired,31324697,17163334,14999290
710,7-P_S103_L003_R1_001,7-P,R1,Unpaired1,NA,13604374,13212098
711,7-P_S103_L003_R1_001,7-P,R1,Unpaired2,NA,NA,257238
712,7-P_S103_L003_R2_001,7-P,R2,Paired,31324697,17163334,14999290
713,7-P_S103_L003_R2_001,7-P,R2,Unpaired1,NA,313624,178937
714,7-P_S103_L003_R2_001,7-P,R2,Unpaired2,NA,NA,1085923
