,SampleId,Pairedness2,Sample,Read,Initial,afterTrimmo,afterTrimGal_Sum
204,36-C_S57_L003_R2_001,Unpaired,36-C,R2,NA,79441,234922
205,36-D_S94_L003_R1_001,Paired,36-D,R1,24193212,13841777,13014007
206,36-D_S94_L003_R1_001,Unpaired,36-D,R1,NA,10044243,10111057
207,36-D_S94_L003_R2_001,Paired,36-D,R2,24193212,13841777,13014007
208,36-D_S94_L003_R2_001,Unpaired,36-D,R2,NA,163521,450866
209,36-E_S107_L003_R1_001,Paired,36-E,R1,25950785,14866792,11927008
210,36-E_S107_L003_R1_001,Unpaired,36-E,R1,NA,10384015,10113266
211,36-E_S107_L003_R2_001,Paired,36-E,R2,25950785,14866792,11927008
212,36-E_S107_L003_R2_001,Unpaired,36-E,R2,NA,505813,1618039
213,36-F_S31_L003_R1_001,Paired,36-F,R1,25614859,14598763,14185095
214,36-F_S31_L003_R1_001,Unpaired,36-F,R1,NA,10809101,10831318
215,36-F_S31_L003_R2_001,Paired,36-F,R2,25614859,14598763,14185095
216,36-F_S31_L003_R2_001,Unpaired,36-F,R2,NA,99464,269589
217,36-G_S7_L003_R1_001,Paired,36-G,R1,28046994,16793621,16314541
218,36-G_S7_L003_R1_001,Unpaired,36-G,R1,NA,11012063,11037380
219,36-G_S7_L003_R2_001,Paired,36-G,R2,28046994,16793621,16314541
220,36-G_S7_L003_R2_001,Unpaired,36-G,R2,NA,98545,313320
221,36-H_S52_L003_R1_001,Paired,36-H,R1,26011100,15687375,15187783
222,36-H_S52_L003_R1_001,Unpaired,36-H,R1,NA,10086999,10111912
223,36-H_S52_L003_R2_001,Paired,36-H,R2,26011100,15687375,15187783
224,36-H_S52_L003_R2_001,Unpaired,36-H,R2,NA,133789,334969
225,36-M_S37_L003_R1_001,Paired,36-M,R1,27663376,13524049,13076923
226,36-M_S37_L003_R1_001,Unpaired,36-M,R1,NA,13858622,13831477
227,36-M_S37_L003_R2_001,Paired,36-M,R2,27663376,13524049,13076923
228,36-M_S37_L003_R2_001,Unpaired,36-M,R2,NA,108363,290933
229,36-N_S40_L003_R1_001,Paired,36-N,R1,28469726,16340521,15873131
230,36-N_S40_L003_R1_001,Unpaired,36-N,R1,NA,11909764,11921507
231,36-N_S40_L003_R2_001,Paired,36-N,R2,28469726,16340521,15873131
232,36-N_S40_L003_R2_001,Unpaired,36-N,R2,NA,97148,312604
233,36-O_S22_L003_R1_001,Paired,36-O,R1,27548271,12483081,12009366
234,36-O_S22_L003_R1_001,Unpaired,36-O,R1,NA,14710661,14666766
235,36-O_S22_L003_R2_001,Paired,36-O,R2,27548271,12483081,12009366
236,36-O_S22_L003_R2_001,Unpaired,36-O,R2,NA,169608,299989
237,36-P_S85_L003_R1_001,Paired,36-P,R1,28101062,16212330,15754191
238,36-P_S85_L003_R1_001,Unpaired,36-P,R1,NA,11679989,11697570
239,36-P_S85_L003_R2_001,Paired,36-P,R2,28101062,16212330,15754191
240,36-P_S85_L003_R2_001,Unpaired,36-P,R2,NA,101241,302093
241,41-A_S91_L003_R1_001,Paired,41-A,R1,26214021,13108675,12650875
242,41-A_S91_L003_R1_001,Unpaired,41-A,R1,NA,12860929,12850719
243,41-A_S91_L003_R2_001,Paired,41-A,R2,26214021,13108675,12650875
244,41-A_S91_L003_R2_001,Unpaired,41-A,R2,NA,119481,299621
245,41-B_S101_L003_R1_001,Paired,41-B,R1,28846902,17110819,14520199
246,41-B_S101_L003_R1_001,Unpaired,41-B,R1,NA,11083652,10895225
247,41-B_S101_L003_R2_001,Paired,41-B,R2,28846902,17110819,14520199
248,41-B_S101_L003_R2_001,Unpaired,41-B,R2,NA,444026,1472440
249,41-C_S27_L003_R1_001,Paired,41-C,R1,27670431,15935542,15424203
250,41-C_S27_L003_R1_001,Unpaired,41-C,R1,NA,11499383,11527118
251,41-C_S27_L003_R2_001,Paired,41-C,R2,27670431,15935542,15424203
252,41-C_S27_L003_R2_001,Unpaired,41-C,R2,NA,136768,342641
253,41-D_S12_L003_R1_001,Paired,41-D,R1,23769494,11213355,10701872
254,41-D_S12_L003_R1_001,Unpaired,41-D,R1,NA,12233331,12222535
255,41-D_S12_L003_R2_001,Paired,41-D,R2,23769494,11213355,10701872
256,41-D_S12_L003_R2_001,Unpaired,41-D,R2,NA,162838,311985
257,41-E_S6_L003_R1_001,Paired,41-E,R1,30071189,18406460,17865868
258,41-E_S6_L003_R1_001,Unpaired,41-E,R1,NA,11437444,11479397
259,41-E_S6_L003_R2_001,Paired,41-E,R2,30071189,18406460,17865868
260,41-E_S6_L003_R2_001,Unpaired,41-E,R2,NA,95876,350067
261,41-F_S60_L003_R1_001,Paired,41-F,R1,23797385,12685829,12333970
262,41-F_S60_L003_R1_001,Unpaired,41-F,R1,NA,10931467,10951717
263,41-F_S60_L003_R2_001,Paired,41-F,R2,23797385,12685829,12333970
264,41-F_S60_L003_R2_001,Unpaired,41-F,R2,NA,93978,216684
265,41-G_S18_L003_R1_001,Paired,41-G,R1,26948162,13705274,13009534
266,41-G_S18_L003_R1_001,Unpaired,41-G,R1,NA,12916431,12896469
267,41-G_S18_L003_R2_001,Paired,41-G,R2,26948162,13705274,13009534
268,41-G_S18_L003_R2_001,Unpaired,41-G,R2,NA,181023,435686
269,41-H_S41_L003_R1_001,Paired,41-H,R1,28172233,15983405,15405896
270,41-H_S41_L003_R1_001,Unpaired,41-H,R1,NA,11906513,11940414
271,41-H_S41_L003_R2_001,Paired,41-H,R2,28172233,15983405,15405896
272,41-H_S41_L003_R2_001,Unpaired,41-H,R2,NA,124079,356655
273,41-M_S34_L003_R1_001,Paired,41-M,R1,29076288,14949247,14557305
274,41-M_S34_L003_R1_001,Unpaired,41-M,R1,NA,13745598,13811182
275,41-M_S34_L003_R2_001,Paired,41-M,R2,29076288,14949247,14557305
276,41-M_S34_L003_R2_001,Unpaired,41-M,R2,NA,233909,222339
277,41-N_S78_L003_R1_001,Paired,41-N,R1,26070936,14730712,14363467
278,41-N_S78_L003_R1_001,Unpaired,41-N,R1,NA,11177451,11195462
279,41-N_S78_L003_R2_001,Paired,41-N,R2,26070936,14730712,14363467
280,41-N_S78_L003_R2_001,Unpaired,41-N,R2,NA,81332,236161
281,41-O_S51_L003_R1_001,Paired,41-O,R1,28389787,16525140,16016093
282,41-O_S51_L003_R1_001,Unpaired,41-O,R1,NA,11618621,11640748
283,41-O_S51_L003_R2_001,Paired,41-O,R2,28389787,16525140,16016093
284,41-O_S51_L003_R2_001,Unpaired,41-O,R2,NA,143777,338017
285,41-P_S24_L003_R1_001,Paired,41-P,R1,26987517,12903978,12562902
286,41-P_S24_L003_R1_001,Unpaired,41-P,R1,NA,13807271,13839431
287,41-P_S24_L003_R2_001,Paired,41-P,R2,26987517,12903978,12562902
288,41-P_S24_L003_R2_001,Unpaired,41-P,R2,NA,133003,207559
289,44-A_S42_L003_R1_001,Paired,44-A,R1,26663699,13907630,13491152
290,44-A_S42_L003_R1_001,Unpaired,44-A,R1,NA,12513126,12557606
291,44-A_S42_L003_R2_001,Paired,44-A,R2,26663699,13907630,13491152
292,44-A_S42_L003_R2_001,Unpaired,44-A,R2,NA,121152,251153
293,44-B_S53_L003_R1_001,Paired,44-B,R1,24493830,14728172,14342472
294,44-B_S53_L003_R1_001,Unpaired,44-B,R1,NA,9589186,9619074
295,44-B_S53_L003_R2_001,Paired,44-B,R2,24493830,14728172,14342472
296,44-B_S53_L003_R2_001,Unpaired,44-B,R2,NA,76019,252729
297,44-C_S5_L003_R1_001,Paired,44-C,R1,30238216,18243450,17738592
298,44-C_S5_L003_R1_001,Unpaired,44-C,R1,NA,11734732,11777334
299,44-C_S5_L003_R2_001,Paired,44-C,R2,30238216,18243450,17738592
300,44-C_S5_L003_R2_001,Unpaired,44-C,R2,NA,87201,322446
301,44-D_S30_L003_R1_001,Paired,44-D,R1,25304405,15604736,15143597
302,44-D_S30_L003_R1_001,Unpaired,44-D,R1,NA,9503556,9539631
303,44-D_S30_L003_R2_001,Paired,44-D,R2,25304405,15604736,15143597
304,44-D_S30_L003_R2_001,Unpaired,44-D,R2,NA,107921,304155
305,44-E_S111_L003_R1_001,Paired,44-E,R1,20911443,11359807,10155749
306,44-E_S111_L003_R1_001,Unpaired,44-E,R1,NA,9244792,9158310
307,44-E_S111_L003_R2_001,Paired,44-E,R2,20911443,11359807,10155749
308,44-E_S111_L003_R2_001,Unpaired,44-E,R2,NA,180447,749832
309,44-F_S87_L003_R1_001,Paired,44-F,R1,24920168,13749363,13425803
310,44-F_S87_L003_R1_001,Unpaired,44-F,R1,NA,10978005,10995113
311,44-F_S87_L003_R2_001,Paired,44-F,R2,24920168,13749363,13425803
312,44-F_S87_L003_R2_001,Unpaired,44-F,R2,NA,110902,206084
313,44-G_S14_L003_R1_001,Paired,44-G,R1,28120656,16572886,16135126
314,44-G_S14_L003_R1_001,Unpaired,44-G,R1,NA,11360964,11392636
315,44-G_S14_L003_R2_001,Paired,44-G,R2,28120656,16572886,16135126
316,44-G_S14_L003_R2_001,Unpaired,44-G,R2,NA,81825,281148
317,44-H_S59_L003_R1_001,Paired,44-H,R1,27734001,16291296,15867295
318,44-H_S59_L003_R1_001,Unpaired,44-H,R1,NA,11225985,11247624
319,44-H_S59_L003_R2_001,Paired,44-H,R2,27734001,16291296,15867295
320,44-H_S59_L003_R2_001,Unpaired,44-H,R2,NA,110138,275555
321,44-M_S26_L003_R1_001,Paired,44-M,R1,27745060,15232721,14806488
322,44-M_S26_L003_R1_001,Unpaired,44-M,R1,NA,12172100,12186822
323,44-M_S26_L003_R2_001,Paired,44-M,R2,27745060,15232721,14806488
324,44-M_S26_L003_R2_001,Unpaired,44-M,R2,NA,211522,275731
325,44-N_S83_L003_R1_001,Paired,13-N,R1,26992537,13927950,13399510
326,44-N_S83_L003_R1_001,Unpaired,13-N,R1,NA,12837474,12826187
327,44-N_S83_L003_R2_001,Paired,13-N,R2,26992537,13927950,13399510
328,44-N_S83_L003_R2_001,Unpaired,13-N,R2,NA,108734,337350
329,44-O_S73_L003_R1_001,Paired,44-O,R1,25005716,12439151,12070111
330,44-O_S73_L003_R1_001,Unpaired,44-O,R1,NA,12263616,12267879
331,44-O_S73_L003_R2_001,Paired,44-O,R2,25005716,12439151,12070111
332,44-O_S73_L003_R2_001,Unpaired,44-O,R2,NA,139817,215551
333,44-P_S93_L003_R1_001,Paired,44-P,R1,24950954,14553557,13773007
334,44-P_S93_L003_R1_001,Unpaired,44-P,R1,NA,10100404,10155272
335,44-P_S93_L003_R2_001,Paired,44-P,R2,24950954,14553557,13773007
336,44-P_S93_L003_R2_001,Unpaired,44-P,R2,NA,208834,467120
337,50-A_S38_L003_R1_001,Paired,50-A,R1,28058254,16833853,16368109
338,50-A_S38_L003_R1_001,Unpaired,50-A,R1,NA,10982952,11022353
339,50-A_S38_L003_R2_001,Paired,50-A,R2,28058254,16833853,16368109
340,50-A_S38_L003_R2_001,Unpaired,50-A,R2,NA,130239,295137
341,50-B_S70_L003_R1_001,Paired,50-B,R1,26751838,13438908,12919321
342,50-B_S70_L003_R1_001,Unpaired,50-B,R1,NA,13072017,13059648
343,50-B_S70_L003_R2_001,Paired,50-B,R2,26751838,13438908,12919321
344,50-B_S70_L003_R2_001,Unpaired,50-B,R2,NA,117661,331241
345,50-C_S45_L003_R1_001,Paired,50-C,R1,27774874,16676219,16249215
346,50-C_S45_L003_R1_001,Unpaired,50-C,R1,NA,10922786,10947966
