,SampleId,Sample,Read,Initial,afterTrimmo,afterTrimGal_Sum
174,50-C_S45_L003_R2_001,50-C,R2,27774874,16757498,16530422
175,50-D_S119_L003_R1_001,50-D,R1,23228267,22891333,21743066
176,50-D_S119_L003_R2_001,50-D,R2,23228267,12328511,11757027
177,50-E_S10_L003_R1_001,50-E,R1,28817602,28477888,27927631
178,50-E_S10_L003_R2_001,50-E,R2,28817602,14640106,14285916
179,50-F_S62_L003_R1_001,50-F,R1,24867886,24518122,24119009
180,50-F_S62_L003_R2_001,50-F,R2,24867886,14161799,13777629
181,50-G_S118_L003_R1_001,50-G,R1,30055357,29547526,27674615
182,50-G_S118_L003_R2_001,50-G,R2,30055357,17628711,16682057
183,50-H_S97_L003_R1_001,50-H,R1,29219653,28536392,25536900
184,50-H_S97_L003_R2_001,50-H,R2,29219653,17622945,16011793
185,50-M_S21_L003_R1_001,50-M,R1,25885873,25627581,25272060
186,50-M_S21_L003_R2_001,50-M,R2,25885873,14749292,14516287
187,50-N_S20_L003_R1_001,50-N,R1,24112742,23932478,23501493
188,50-N_S20_L003_R2_001,50-N,R2,24112742,13866489,13628647
189,50-O_S74_L003_R1_001,50-O,R1,27358658,27135623,26669073
190,50-O_S74_L003_R2_001,50-O,R2,27358658,14374057,14132826
191,50-P_S86_L003_R1_001,50-P,R1,28028325,27609309,27173474
192,50-P_S86_L003_R2_001,50-P,R2,28028325,15339257,14884742
193,62-A_S108_L003_R1_001,62-A,R1,27343827,26858264,25308492
194,62-A_S108_L003_R2_001,62-A,R2,27343827,16309925,15457734
195,62-B_S69_L003_R1_001,62-B,R1,23736842,23564259,23221474
196,62-B_S69_L003_R2_001,62-B,R2,23736842,12732946,12536787
197,62-C_S15_L003_R1_001,62-C,R1,30895067,30615011,30116481
198,62-C_S15_L003_R2_001,62-C,R2,30895067,17862858,17542813
199,62-D_S47_L003_R1_001,62-D,R1,27008442,26800480,26426412
200,62-D_S47_L003_R2_001,62-D,R2,27008442,16080428,15817955
201,62-E_S58_L003_R1_001,62-E,R1,27731495,27503119,27105252
202,62-E_S58_L003_R2_001,62-E,R2,27731495,15752140,15503747
203,62-F_S28_L003_R1_001,62-F,R1,27865069,27307532,26832353
204,62-F_S28_L003_R2_001,62-F,R2,27865069,13746498,13245717
205,62-G_S117_L003_R1_001,62-G,R1,26307407,25429668,21817876
206,62-G_S117_L003_R2_001,62-G,R2,26307407,15372215,12990459
207,62-H_S3_L003_R1_001,62-H,R1,27324997,27137522,26731684
208,62-H_S3_L003_R2_001,62-H,R2,27324997,16654168,16434569
209,62-M_S64_L003_R1_001,62-M,R1,25860193,25631593,25218572
210,62-M_S64_L003_R2_001,62-M,R2,25860193,14047262,13782973
211,62-N_S100_L003_R1_001,62-N,R1,28774753,28326753,26600079
212,62-N_S100_L003_R2_001,62-N,R2,28774753,17158586,16246680
213,62-O_S89_L003_R1_001,62-O,R1,27622780,27337587,26948495
214,62-O_S89_L003_R2_001,62-O,R2,27622780,14371504,14129667
215,62-P_S43_L003_R1_001,62-P,R1,28519133,28335197,27952051
216,62-P_S43_L003_R2_001,62-P,R2,28519133,18630229,18403001
217,7-A_S23_L003_R1_001,7-A,R1,27108326,26803512,26425444
218,7-A_S23_L003_R2_001,7-A,R2,27108326,13035261,12712477
219,7-B_S36_L003_R1_001,7-B,R1,26203825,25941638,25628653
220,7-B_S36_L003_R2_001,7-B,R2,26203825,14669112,14412803
221,7-C_S32_L003_R1_001,7-C,R1,23646610,23107332,22511938
222,7-C_S32_L003_R2_001,7-C,R2,23646610,11610808,11012163
223,7-E_S88_L003_R1_001,7-E,R1,27284441,26954398,26468353
224,7-E_S88_L003_R2_001,7-E,R2,27284441,11940946,11624523
225,7-F_S98_L003_R1_001,7-F,R1,25968514,25503670,23322011
226,7-F_S98_L003_R2_001,7-F,R2,25968514,16200667,15019231
227,7-G_S48_L003_R1_001,7-G,R1,26670724,26417991,26038453
228,7-G_S48_L003_R2_001,7-G,R2,26670724,13748847,13484915
229,7-H_S82_L003_R1_001,7-H,R1,29569970,29331500,28790196
230,7-H_S82_L003_R2_001,7-H,R2,29569970,15487174,15194561
231,7-M_S76_L003_R1_001,7-M,R1,28080811,27873816,27492291
232,7-M_S76_L003_R2_001,7-M,R2,28080811,16679570,16445889
233,7-N_S11_L003_R1_001,7-N,R1,26737415,26493172,26040878
234,7-N_S11_L003_R2_001,7-N,R2,26737415,14025853,13766783
235,7-O_S63_L003_R1_001,7-O,R1,26064592,25790754,25460840
236,7-O_S63_L003_R2_001,7-O,R2,26064592,13078968,12777963
237,7-P_S103_L003_R1_001,7-P,R1,31324697,30767708,28468626
238,7-P_S103_L003_R2_001,7-P,R2,31324697,17476958,16264150
