SampleId	afterTrimGal
7-E_unpaired_all	15406522
7-F_S98_L003_R1_001	13776605
7-F_S98_L003_R2_001	13776605
7-F_unpaired_all	10788032
7-G_S48_L003_R1_001	13242995
7-G_S48_L003_R2_001	13242995
7-G_unpaired_all	13037378
7-H_S82_L003_R1_001	14855811
7-H_S82_L003_R2_001	14855811
7-H_unpaired_all	14273135
7-M_S76_L003_R1_001	16177989
7-M_S76_L003_R2_001	16177989
7-M_unpaired_all	11582202
7-N_S11_L003_R1_001	13476854
7-N_S11_L003_R2_001	13476854
7-N_unpaired_all	12853953
7-O_S63_L003_R1_001	12563605
7-O_S63_L003_R2_001	12563605
7-O_unpaired_all	13111593
7-P_S103_L003_R1_001	14999290
7-P_S103_L003_R2_001	14999290
7-P_unpaired_all	14734196
