SampleId	afterTrimmo
36-D_S94_L003_R2_001	13841777
36-E_S107_L003_R1_001	14866792
36-E_S107_L003_R2_001	14866792
36-F_S31_L003_R1_001	14598763
36-F_S31_L003_R2_001	14598763
36-G_S7_L003_R1_001	16793621
36-G_S7_L003_R2_001	16793621
36-H_S52_L003_R1_001	15687375
36-H_S52_L003_R2_001	15687375
36-M_S37_L003_R1_001	13524049
36-M_S37_L003_R2_001	13524049
36-N_S40_L003_R1_001	16340521
36-N_S40_L003_R2_001	16340521
36-O_S22_L003_R1_001	12483081
36-O_S22_L003_R2_001	12483081
36-P_S85_L003_R1_001	16212330
36-P_S85_L003_R2_001	16212330
3-A_S90_L003_R1_001	15606139
3-A_S90_L003_R2_001	15606139
3-B_S25_L003_R1_001	12938827
3-B_S25_L003_R2_001	12938827
3-C_S9_L003_R1_001	12515723
3-C_S9_L003_R2_001	12515723
3-D_S75_L003_R1_001	14358147
3-D_S75_L003_R2_001	14358147
3-E_S39_L003_R1_001	15600043
3-E_S39_L003_R2_001	15600043
3-F_S4_L003_R1_001	17721096
3-F_S4_L003_R2_001	17721096
3-G_S16_L003_R1_001	14418124
3-G_S16_L003_R2_001	14418124
3-H_S110_L003_R1_001	18002053
3-H_S110_L003_R2_001	18002053
3-M_S65_L003_R1_001	14468225
3-M_S65_L003_R2_001	14468225
3-N_S46_L003_R1_001	15314662
3-N_S46_L003_R2_001	15314662
3-O_S115_L003_R1_001	14867285
3-O_S115_L003_R2_001	14867285
3-P_S72_L003_R1_001	13846601
3-P_S72_L003_R2_001	13846601
41-A_S91_L003_R1_001	13108675
41-A_S91_L003_R2_001	13108675
41-B_S101_L003_R1_001	17110819
41-B_S101_L003_R2_001	17110819
41-C_S27_L003_R1_001	15935542
41-C_S27_L003_R2_001	15935542
41-D_S12_L003_R1_001	11213355
41-D_S12_L003_R2_001	11213355
41-E_S6_L003_R1_001	18406460
41-E_S6_L003_R2_001	18406460
41-F_S60_L003_R1_001	12685829
41-F_S60_L003_R2_001	12685829
41-G_S18_L003_R1_001	13705274
41-G_S18_L003_R2_001	13705274
41-H_S41_L003_R1_001	15983405
41-H_S41_L003_R2_001	15983405
41-M_S34_L003_R1_001	14949247
41-M_S34_L003_R2_001	14949247
41-N_S78_L003_R1_001	14730712
41-N_S78_L003_R2_001	14730712
41-O_S51_L003_R1_001	16525140
41-O_S51_L003_R2_001	16525140
41-P_S24_L003_R1_001	12903978
41-P_S24_L003_R2_001	12903978
44-A_S42_L003_R1_001	13907630
44-A_S42_L003_R2_001	13907630
44-B_S53_L003_R1_001	14728172
44-B_S53_L003_R2_001	14728172
44-C_S5_L003_R1_001	18243450
44-C_S5_L003_R2_001	18243450
44-D_S30_L003_R1_001	15604736
44-D_S30_L003_R2_001	15604736
44-E_S111_L003_R1_001	11359807
44-E_S111_L003_R2_001	11359807
44-F_S87_L003_R1_001	13749363
44-F_S87_L003_R2_001	13749363
44-G_S14_L003_R1_001	16572886
44-G_S14_L003_R2_001	16572886
44-H_S59_L003_R1_001	16291296
44-H_S59_L003_R2_001	16291296
44-M_S26_L003_R1_001	15232721
