SampleId	afterTrimGal
36-N_S40_L003_R1_001.T1_unpaired_1	160347
36-N_S40_L003_R2_001.T1.fq.unpaired_trimmed	58445
36-N_S40_L003_R2_001.T1_unpaired_2	254159
36-O_S22_L003_R1_001.T1.fq.unpaired_trimmed	14505173
36-O_S22_L003_R1_001.T1_unpaired_1	161593
36-O_S22_L003_R2_001.T1.fq.unpaired_trimmed	55676
36-O_S22_L003_R2_001.T1_unpaired_2	244313
36-P_S85_L003_R1_001.T1.fq.unpaired_trimmed	11534490
36-P_S85_L003_R1_001.T1_unpaired_1	163080
36-P_S85_L003_R2_001.T1.fq.unpaired_trimmed	55080
36-P_S85_L003_R2_001.T1_unpaired_2	247013
3-A_S90_L003_R1_001.T1.fq.unpaired_trimmed	11432346
3-A_S90_L003_R1_001.T1_unpaired_1	182692
3-A_S90_L003_R2_001.T1.fq.unpaired_trimmed	52129
3-A_S90_L003_R2_001.T1_unpaired_2	251664
3-B_S25_L003_R1_001.T1.fq.unpaired_trimmed	11192799
3-B_S25_L003_R1_001.T1_unpaired_1	161190
3-B_S25_L003_R2_001.T1.fq.unpaired_trimmed	53536
3-B_S25_L003_R2_001.T1_unpaired_2	229233
3-C_S9_L003_R1_001.T1.fq.unpaired_trimmed	11484350
3-C_S9_L003_R1_001.T1_unpaired_1	138203
3-C_S9_L003_R2_001.T1.fq.unpaired_trimmed	47255
3-C_S9_L003_R2_001.T1_unpaired_2	197651
3-D_S75_L003_R1_001.T1.fq.unpaired_trimmed	12291483
3-D_S75_L003_R1_001.T1_unpaired_1	149915
3-D_S75_L003_R2_001.T1.fq.unpaired_trimmed	51162
3-D_S75_L003_R2_001.T1_unpaired_2	223964
3-E_S39_L003_R1_001.T1.fq.unpaired_trimmed	11744520
3-E_S39_L003_R1_001.T1_unpaired_1	161896
3-E_S39_L003_R2_001.T1.fq.unpaired_trimmed	51683
3-E_S39_L003_R2_001.T1_unpaired_2	245410
3-F_S4_L003_R1_001.T1.fq.unpaired_trimmed	12229981
3-F_S4_L003_R1_001.T1_unpaired_1	209309
3-F_S4_L003_R2_001.T1.fq.unpaired_trimmed	51314
3-F_S4_L003_R2_001.T1_unpaired_2	251515
3-G_S16_L003_R1_001.T1.fq.unpaired_trimmed	12474479
3-G_S16_L003_R1_001.T1_unpaired_1	187635
3-G_S16_L003_R2_001.T1.fq.unpaired_trimmed	71424
3-G_S16_L003_R2_001.T1_unpaired_2	313454
3-H_S110_L003_R1_001.T1.fq.unpaired_trimmed	7705896
3-H_S110_L003_R1_001.T1_unpaired_1	232552
3-H_S110_L003_R2_001.T1.fq.unpaired_trimmed	158142
3-H_S110_L003_R2_001.T1_unpaired_2	957604
3-M_S65_L003_R1_001.T1.fq.unpaired_trimmed	15591327
3-M_S65_L003_R1_001.T1_unpaired_1	210505
3-M_S65_L003_R2_001.T1.fq.unpaired_trimmed	63644
3-M_S65_L003_R2_001.T1_unpaired_2	272551
3-N_S46_L003_R1_001.T1.fq.unpaired_trimmed	12265889
3-N_S46_L003_R1_001.T1_unpaired_1	158644
3-N_S46_L003_R2_001.T1.fq.unpaired_trimmed	50680
3-N_S46_L003_R2_001.T1_unpaired_2	223078
3-O_S115_L003_R1_001.T1.fq.unpaired_trimmed	10240933
3-O_S115_L003_R1_001.T1_unpaired_1	234489
3-O_S115_L003_R2_001.T1.fq.unpaired_trimmed	155267
3-O_S115_L003_R2_001.T1_unpaired_2	950639
3-P_S72_L003_R1_001.T1.fq.unpaired_trimmed	11917226
3-P_S72_L003_R1_001.T1_unpaired_1	153236
3-P_S72_L003_R2_001.T1.fq.unpaired_trimmed	46742
3-P_S72_L003_R2_001.T1_unpaired_2	214668
41-A_S91_L003_R1_001.T1.fq.unpaired_trimmed	12701883
41-A_S91_L003_R1_001.T1_unpaired_1	148836
41-A_S91_L003_R2_001.T1.fq.unpaired_trimmed	62212
41-A_S91_L003_R2_001.T1_unpaired_2	237409
41-B_S101_L003_R1_001.T1.fq.unpaired_trimmed	10636496
41-B_S101_L003_R1_001.T1_unpaired_1	258729
41-B_S101_L003_R2_001.T1.fq.unpaired_trimmed	200796
41-B_S101_L003_R2_001.T1_unpaired_2	1271644
41-C_S27_L003_R1_001.T1.fq.unpaired_trimmed	11353756
41-C_S27_L003_R1_001.T1_unpaired_1	173362
41-C_S27_L003_R2_001.T1.fq.unpaired_trimmed	62885
41-C_S27_L003_R2_001.T1_unpaired_2	279756
41-D_S12_L003_R1_001.T1.fq.unpaired_trimmed	12061404
41-D_S12_L003_R1_001.T1_unpaired_1	161131
41-D_S12_L003_R2_001.T1.fq.unpaired_trimmed	60043
41-D_S12_L003_R2_001.T1_unpaired_2	251942
41-E_S6_L003_R1_001.T1.fq.unpaired_trimmed	11273243
41-E_S6_L003_R1_001.T1_unpaired_1	206154
41-E_S6_L003_R2_001.T1.fq.unpaired_trimmed	57272
41-E_S6_L003_R2_001.T1_unpaired_2	292795
41-F_S60_L003_R1_001.T1.fq.unpaired_trimmed	10817036
